ID_Dünger;ID_DuengerArt;Bezeichnung;Duenger_lang;Einheit;Nges_PrzFM;NO3_N_PrzFM;NH4_N_PrzFM;Harnstoff_N_PrzFM;P_PrzFM;K_PrzFM;S_PrzFM;Mg_PrzFM;P2O5_PrzFM;K2O_PrzFM;CaCO3_PRZFM;THG_Faktor;Dichte_kg_je_l;Feldemission-N2O-Faktor;Feldemission-NO-Faktor;Feldemission-NH3-Faktor;Feldemission-organisch-NH3-Faktor;KEA_Biomasse;KEA_Fossil;KEA_Geothermal;KEA_Nuklear;KEA_Primaerwald;KEA_Sonne;KEA_Wasser;KEA_Wind;Summe KEA_Dünger [MJ/kg Dünger];ID_DuengerArt;ID_Frucht;Frucht;ID_Frucht;Fruchtart-Faktor N2O;Fruchtart-Faktor NO;Fruchtart-Faktor NH3
D30;2;AHL;Ammoniumnitrat-Harnstoff-Lösung;l/ha;28;7;7;14;0;0;0;0;0;0;;1,671;1,28;0,0038;0,0061;0;0;0,163;18,737;0,016;0,694;0;0;0,179;0,022;19,811;2;102;Amarant;102;0;0;-0,045
D32;2;AHL + Ammonium;Ammoniumnitrat-Harnstoff-Lösung + Ammonium;kg/ha;27;;;0;0;0;3;0;0;0;;1,612;1;0,0038;0,0061;0;0;0,157;18,068;0,015;0,67;0;0;0,172;0,021;19,104;2;250;Blühmischung;250;0,442;0;-0,045
D202;2;AHL + Ammoniumthiosulfat, 24-6;Ammoniumnitrat-Harnstoff-Lösung + Ammoniumthiosulfat, 24-6;l/ha;24;5,33;7,11;11,55;0;0;6;0;0;0;;1,433;1,28;0,0038;0,0061;0;0;0,139;16,06;0,014;0,595;0;0;0,153;0,019;16,981;2;195;Bokharaklee;195;0,3783;0;-0,045
D200;2;AHL + Ammoniumthiosulfat, 27-3;Ammoniumnitrat-Harnstoff-Lösung + Ammoniumthiosulfat, 27-3;l/ha;27;6;8;13;0;0;3;0;0;0;;1,612;1,29;0,0038;0,0061;0;0;0,157;18,068;0,015;0,67;0;0;0,172;0,021;19,104;2;208;Buchweizen;208;0;0;-0,158
D31;2;AHL+Schwefel;Ammoniumnitrat-Harnstoff-Lösung mit Schwefel;l/ha;24;5;8;0;0;0;3;0;0;0;;1,612;1,28;0,0038;0,0061;0;0;0,157;18,068;0,015;0,67;0;0;0,172;0,021;19,104;2;184;Deutsches Weidelgras;184;-0,3502;0;-0,158
D140;2;Alzon ;Alzon (Nitrifikationshemmer);kg/ha;46;0;0;43;0;0;0;0;0;0;;0,611;1;0,0038;0,0061;0;0;0,267;30,782;0,026;0,254;0;0;0,294;0,037;31,66;2;245;Deutsches Weidelgras, Welsches Weidelgras;245;-0,3502;0;-0,158
D206;2;Alzon flüssig-S;Alzon flüssig-S;l/ha;24;5;8;11;0;0;3;0;0;0;;1,433;1,28;0,0038;0,0061;0;0;0,139;16,06;0,014;0,595;0;0;0,153;0,019;16,981;2;182;Einj. Weidelgras;182;-0,3502;0;-0,158
D41;2;"Ammonsulfat-Harnstoff, ""Urea S""";"Ammonsulfat-Harnstoff, ""Urea S""";kg/ha;38;0;6,6;31,4;0;0;7;0;0;0;;1,27;1;0,0038;0,0061;0,429;0;1,923;23,417;0,143;0,979;0,001;1,773;0,316;0,14;28,691;2;111;Erbse;111;0,3783;0;-0,045
D42;2;ASS;Ammonsulfatsalpeter;kg/ha;26;7;19;0;0;0;13;0;0;0;;0,489;1;0,0038;0,0061;0,429;0;6,981;0,422;0,489;0,002;0,002;6,981;0,422;0,422;15,721;2;112;Erbse, Hafer, Leindotter;112;0,3783;0;-0,045
D2;2;Branntkalk;Branntkalk;kg/ha;0;0;0;0;0;0;0;0;0;0;;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;115;Erbse, S.Gerste;115;0,3783;0;-0,045
D135;2;Calciumcarbonat;Calciumcarbonat;kg/ha;0;0;0;0;0;0;0;0,3;0;0;100;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;116;Erbse, Senf, S.Gerste;116;0,3783;0;-0,045
D3;2;Carbokalk;Carbokalk, Brottewitz;kg/ha;0,3;;;0;0,3052;0;0,23;0,603;0,69933528;0;45;0,002;1;0,0038;0,0061;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;180;Futterhirse;180;0,442;0;-0,045
D57;2;Diammonphosphat;Diammonphosphat;kg/ha;18;0;18;0;20,056;0;0,05;0;45,9563184;0;;0,85;1,619;0,0038;0,0061;0,182;0;0,376;27,097;0,04;1,23;0,043;0;0,414;0,035;29,235;2;119;Gerstgras;119;0,442;0;-0,158
D134;2;Dolokorn 90;Dolokorn 90;kg/ha;0;0;0;0;0;0;0;8,65;0;0;60;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;120;Hafer;120;0;0;-0,045
D213;2;Entec 26;Entec 26;kg/ha;26;7,5;18,5;;;;;13;;;;0,489;1;0,0038;0,0061;0,429;0;6,981;0,422;0,489;0,002;0,002;6,981;0,422;0,422;15,721;2;127;Kartoffeln;127;0,442;0;-0,045
D614;1;Gärrest  (0,1 % N, NawaRo) ohne Abdeckung;Gärrest;m3/ha;0,18;;0,18;;0,05;0,13;;;0,11457;0,15665;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;128;Kleegras;128;0,3783;0;-0,045
D600;1;Gärrest  (0,1 % N, NawaRo) mit Abdeckung;Gärrest;m3/ha;0,18;;0,18;;0,05;0,13;;;0,11457;0,15665;;0;1;0,0038;0,0061;0,995;0,4;0;0;0;0;0;0;0;0;0;1;20;Landsberger Gemenge;20;-0,3502;0;-0,045
D617;1;Gärrest  (0,2 % N, Rindermist + NawaRo) ohne Abdeckung;Gärrest;m3/ha;0,25;0;0,19;0;0,04;0,24;0;0;0,091656;0,2892;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;187;Luzerne;187;0,3783;0;-0,045
D602;1;Gärrest  (0,2 % N, Rindermist + NawaRo) mit Abdeckung;Gärrest;m3/ha;0,25;0;0,19;0;0,04;0,24;0;0;0,091656;0,2892;;0;1;0,0038;0,0061;0,995;0,4;0;0;0;0;0;0;0;0;0;1;139;Luzernegras;139;0,3783;0;-0,045
D612;1;Gärrest  (0,3 % N, Rindermist + Nawaro) ohne Abdeckung;Gärrest;m3/ha;0,31;0;0,17;0;0,09;0,24;0;0;0,206226;0,2892;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;140;Luzerne-Klee-Gras;140;0,3783;0;-0,045
D609;1;Gärrest  (0,3 % N, Rindermist + Nawaro) mit Abdeckung;Gärrest;m3/ha;0,31;0;0,17;0;0,09;0,24;0;0;0,206226;0,2892;;0;1;0,0038;0,0061;0,995;0,4;0;0;0;0;0;0;0;0;0;1;141;Mais;141;0,442;0;-0,045
D664;1;Gärrest  (0,4 % N, Nawaro) ohne Abdeckung;Gärrest;m3/ha;0,447;0;0,24333;0;0,0873;0,4372;;;0,20003922;0,526826;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;220;Mais, Sudangras;220;0,442;0;-0,045
D607;1;Gärrest  (0,4 % N, Nawaro) mit Abdeckung;Gärrest;m3/ha;0,447;0;0,24333;0;0,0873;0,4372;;;0,20003922;0,526826;;0;1;0,0038;0,0061;0,995;0,4;0;0;0;0;0;0;0;0;0;1;142;Mais, Sonnenblume;142;0,442;0;-0,045
D629;1;Gärrest  (0,5 % N, Nawaro) ohne Abdeckung;Gärrest;m3/ha;0,46;0;0,22;0;0,07;0,3;0;0;0,160398;0,3615;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;41;Ölrettich;41;0,442;0;-0,045
D601;1;Gärrest  (0,5 % N, Nawaro) mit Abdeckung;Gärrest;m3/ha;0,46;0;0,22;0;0,07;0,3;0;0;0,160398;0,3615;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;25;Phacelia;25;0,442;0;-0,045
D625;1;Gärrest  (0,6 % N, Rindermist + Nawaro) ohne Abdeckung;Gärrest;m3/ha;0,59;0;0,41;0;0,072006;0,55478;0,000616;0,03682;0,164994548;0,6685099;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;185;Rotklee;185;0,3783;0;-0,045
D603;1;Gärrest  (0,6 % N, Rindermist + Nawaro) mit Abdeckung;Gärrest;m3/ha;0,59;0;0,41;0;0,072006;0,55478;0,000616;0,03682;0,164994548;0,6685099;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;145;S.Gerste;145;0;0;-0,045
D628;1;Gärrest  (0,7 % N, Hühnermist + Nawaro) ohne Abdeckung;Gärrest;m3/ha;0,7;0;0,39;0;0,12;0,66;0;0;0,274968;0,7953;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;211;S.Raps;211;0,442;0;-0,158
D610;1;Gärrest  (0,7 % N, Hühnermist + Nawaro) mit Abdeckung;Gärrest;m3/ha;0,7;0;0,39;0;0,12;0,66;0;0;0,274968;0,7953;;0;1;0,0038;0,0061;0,995;0,2;0;0;0;0;0;0;0;0;0;1;147;S.Roggen;147;0;0;-0,045
;1;Geflügeltrockenkot;;kg/ha;4,6;;;;;;;;0;0;;0;1;0,0038;0,0061;0,995;0,9;0,031;0;0;0;0,00E+00;0;0;0;0;1;148;S.Roggen S.Triticale;148;0;0;-0,045
D5;2;Granukal ;Granukal 85;kg/ha;0;0;0;0;0;0;0;1,44117;0;0;80;0,005;1;0;0;0;0;0,001;0,084;0;0,002;0;0;0,002;0;0,089;2;150;S.Triticale;150;0;0;-0,045
D44;2;Harnstoff;Harnstoff;kg/ha;46;0;0;46;0;0;0;0;0;0;;1,679;1;0,0038;0,0061;0,666;0;0,22;34,149;0,028;1,433;0,001;0,001;0,305;0,048;36,185;2;151;S.Weizen;151;0;0;-0,045
D24;2;Kainit;Kainit;kg/ha;0;0;0;0;0;9,13;4;3,015;0;11,00165;;0,007;1;0;0;0;0;0,005;0,278;0;0,005;0;0;0,001;0;0,29;2;43;Senf;43;0,442;0;-0,045
D21;2;Kali 40;Kali 40;kg/ha;0;0;0;0;0;33,2;4;3,618;0;40,006;;0,16;1;0;0;0;0;0,027;0,199;0,002;0,001;0;0;0;0;0,228;2;157;Sonnenblumen;157;0,442;0;-0,045
D22;2;Kali 50;Kali 50;kg/ha;0;0;0;0;0;41,5;0;0;0;50,0075;;0,2;1;0;0;0;0;0,084;3,701;0,005;0,151;0;0;0,059;0,004;4,004;2;160;Sudangras;160;0,442;0;-0,045
D23;2;Kali 60;Kali 60;kg/ha;0;0;0;0;0;49,8;0;0;0;60,009;;0,24;1;0;0;0;0;0,04;0,298;0,003;0,001;0;0;0;0;0,342;2;161;Topinambur;161;0,442;0;-0,045
D25;2;Kaliumsulfat;Kaliumsulfat;kg/ha;0;0;0;0;0;41,5;18;0;0;50,0075;;0,482;1;0;0;0;0;0,606;12,439;0,019;0,019;0,001;0;0,265;0,025;13,373;2;163;W.Erbse, W.Roggen;163;0;0;-0,045
D17;2;Kalk I (70% CaCO3);Saale Kalk I;kg/ha;0;0;0;0;0;0;0;5,765283;0;0;70;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;164;W.Gerste;164;0;0;-0,045
D18;2;Kalk II (55% CaCO3);Saale Kalk II;kg/ha;0;0;0;0;0;0;0;10,088793;0;0;55;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;167;W.Gerste, W.Rübsen;167;0;0;-0,045
D151;2;Kalk, Optiflor 80/10;Kalk, Optiflor 80/10;kg/ha;0;0;0;0;0;0;0;3;0;0;80;0,002;1;0;0;0;0;0,001;0,039;0,001;0,001;0;0;0,001;0,001;0,044;2;169;W.Gerste, W.Triticale, W.Weizen;169;0;0;-0,045
D152;2;Kalkmergel CaO 47%;Kalkmergel CaO 47%;kg/ha;0;0;0;0;0;0;0;0;0;0;;0,005;1;0;0;0;0;0,001;0,084;0;0,002;0;0;0,002;0;0,089;2;170;W.Raps;170;0;0;-0,045
D6;2;Kalkmergel Mg-Kalk 85;Kalkmergel Mg-Kalk 85;kg/ha;0;0;0;0;0;0;0;10,08819;0;0;;0,005;1;0;0;0;0;0,001;0,084;0;0,002;0;0;0,002;0;0,089;2;172;W.Roggen;172;0;0;-0,045
D47;2;KAS;Kalkammonsalpeter;kg/ha;27;13,5;13,5;0;0;0;0,05;0;0;0;26;2,315;1,1;0,0038;0,0061;-1,064;0;0,184;17,531;0,015;0,527;0,003;0;0,188;0,016;18,464;2;222;W.Roggen, W.Triticale;222;0;0;-0,045
D48;2;KAS mit Magnesium;Kalkammonsalpeter mit Magnesium;kg/ha;27;13,5;13,5;0;0;0;0,05;1,809;0;0;26;2,315;1;0,0038;0,0061;-1,064;0;0,184;17,531;0,015;0,527;0,003;0;0,188;0,016;18,464;2;173;W.Roggen, W.Wicken;173;0;0;-0,045
D145;2;Kemistar;Kemistar;kg/ha;15;4;11;0;13,092619;0;4;2,713661;30,00042718;0;;1,527;1;0,0038;0,0061;-0,748;0;;12,334;;0,468;;;;;12,802;2;175;W.Triticale;175;0;0;-0,045
D130;2;Kieserit fein;Kieserit fein;kg/ha;0;0;0;0;0;0;22;16,281;0;0;;0,288;1;0;0;0;0;3,62;2,045;0,288;0,001;0,001;3,62;2,045;2,045;13,665;2;233;W.Triticale, W.Erbse;233;0;0;-0,045
D131;2;Kieserit granuliert;Kieserit granuliert;kg/ha;0;0;0;0;0;0;21;15,075;0;0;;0,288;1;0;0;0;0;3,62;2,045;0,288;0,001;0,001;3,62;2,045;2,045;13,665;2;224;W.Triticale, W.Weizen;224;0;0;-0,045
